,same class,different classes
0_102ZP1_0039_matching_graph,19,48
10_1099ZP1_0039_matching_graph,19,48
11_1138ZP1_0039_matching_graph,19,48
12_1200ZP1_0039_matching_graph,19,48
13_1222ZP1_0039_matching_graph,19,48
1_37ZP1_0039_matching_graph,19,48
25_163ZP1_0039_matching_graph,9,30
26_272ZP1_0039_matching_graph,9,30
27_456ZP1_0039_matching_graph,9,30
28_383ZP1_0039_matching_graph,9,30
29_547ZP1_0039_matching_graph,9,30
2_310ZP1_0039_matching_graph,19,48
30_631ZP1_0039_matching_graph,9,30
31_658ZP1_0039_matching_graph,9,30
32_863ZP1_0039_matching_graph,9,30
33_754ZP1_0039_matching_graph,9,30
34_906ZP1_0039_matching_graph,9,30
35_987ZP1_0039_matching_graph,9,30
36_1078ZP1_0039_matching_graph,9,30
37_1160ZP1_0039_matching_graph,9,30
38_1094ZP1_0039_matching_graph,9,30
39_1137ZP1_0039_matching_graph,9,30
3_709ZP1_0039_matching_graph,19,48
40_895ZP1_0039_matching_graph,14,18
41_1000ZP1_0039_matching_graph,14,18
42_1217ZP1_0039_matching_graph,14,18
43_1114ZP1_0039_matching_graph,14,18
4_830ZP1_0039_matching_graph,19,48
5_1014ZP1_0039_matching_graph,19,48
6_1013ZP1_0039_matching_graph,19,48
76_204ZP1_0039_matching_graph,8,13
77_301ZP1_0039_matching_graph,8,13
78_575ZP1_0039_matching_graph,8,13
79_637ZP1_0039_matching_graph,8,13
7_952ZP1_0039_matching_graph,19,48
8_1124ZP1_0039_matching_graph,19,48
9_1071ZP1_0039_matching_graph,19,48
14_76ZP1_0048_matching_graph,24,47
15_262ZP1_0048_matching_graph,24,47
16_413ZP1_0048_matching_graph,24,47
17_544ZP1_0048_matching_graph,24,47
18_627ZP1_0048_matching_graph,24,47
19_847ZP1_0048_matching_graph,24,47
20_949ZP1_0048_matching_graph,24,47
21_1064ZP1_0048_matching_graph,24,47
22_1096ZP1_0048_matching_graph,24,47
23_1225ZP1_0048_matching_graph,24,47
24_1168ZP1_0048_matching_graph,24,47
44_146ZP1_0048_matching_graph,19,17
45_239ZP1_0048_matching_graph,19,17
46_436ZP1_0048_matching_graph,19,17
47_484ZP1_0048_matching_graph,19,17
48_642ZP1_0048_matching_graph,19,17
49_625ZP1_0048_matching_graph,19,17
50_803ZP1_0048_matching_graph,19,17
51_939ZP1_0048_matching_graph,19,17
52_983ZP1_0048_matching_graph,19,17
53_852ZP1_0048_matching_graph,19,17
54_1144ZP1_0048_matching_graph,19,17
55_1110ZP1_0048_matching_graph,19,17
56_1212ZP1_0048_matching_graph,19,17
57_1221ZP1_0048_matching_graph,19,17
58_1185ZP1_0048_matching_graph,19,17
59_167ZP1_0048_matching_graph,16,17
60_463ZP1_0048_matching_graph,16,17
61_725ZP1_0048_matching_graph,16,17
62_560ZP1_0048_matching_graph,16,17
63_604ZP1_0048_matching_graph,16,17
64_852ZP1_0048_matching_graph,16,17
65_881ZP1_0048_matching_graph,16,17
66_1052ZP1_0048_matching_graph,16,17
67_919ZP1_0048_matching_graph,16,17
68_1171ZP1_0048_matching_graph,16,17
69_1159ZP1_0048_matching_graph,16,17
70_1113ZP1_0048_matching_graph,16,17
71_1123ZP1_0048_matching_graph,16,17
72_1114ZP1_0048_matching_graph,16,17
73_1179ZP1_0048_matching_graph,16,17
74_1183ZP1_0048_matching_graph,16,17
75_1208ZP1_0048_matching_graph,16,17
