,same class,different classes
10_90TP1_0003_matching_graph,28,43
12_115TP1_0003_matching_graph,28,43
14_169TP1_0003_matching_graph,28,43
16_194TP1_0003_matching_graph,28,43
18_219TP1_0003_matching_graph,28,43
19_267TP1_0003_matching_graph,28,43
20_121TP1_0003_matching_graph,28,43
21_140TP1_0003_matching_graph,28,43
22_184TP1_0003_matching_graph,28,43
23_210TP1_0003_matching_graph,28,43
24_257TP1_0003_matching_graph,28,43
25_124TP1_0003_matching_graph,28,43
26_258TP1_0003_matching_graph,28,43
27_273TP1_0003_matching_graph,28,43
4_84TP1_0003_matching_graph,28,43
6_249TP1_0003_matching_graph,28,43
8_73TP1_0003_matching_graph,28,43
79_346TP1_0011_matching_graph,80,38
28_88TP1_0017_matching_graph,47,40
30_206TP1_0017_matching_graph,47,40
32_116TP1_0017_matching_graph,47,40
34_265TP1_0017_matching_graph,47,40
36_223TP1_0017_matching_graph,47,40
38_243TP1_0017_matching_graph,47,40
40_374TP1_0017_matching_graph,47,40
42_526TP1_0017_matching_graph,47,40
44_624TP1_0017_matching_graph,47,40
46_563TP1_0017_matching_graph,47,40
48_710TP1_0017_matching_graph,47,40
50_830TP1_0017_matching_graph,47,40
52_609TP1_0017_matching_graph,47,40
53_739TP1_0017_matching_graph,47,40
54_617TP1_0017_matching_graph,47,40
55_697TP1_0017_matching_graph,47,40
56_743TP1_0017_matching_graph,47,40
57_766TP1_0017_matching_graph,47,40
58_819TP1_0017_matching_graph,47,40
29_169TP1_0028_matching_graph,40,41
31_235TP1_0028_matching_graph,40,41
33_207TP1_0028_matching_graph,40,41
35_274TP1_0028_matching_graph,40,41
37_635TP1_0028_matching_graph,40,41
39_717TP1_0028_matching_graph,40,41
41_974TP1_0028_matching_graph,40,41
43_905TP1_0028_matching_graph,40,41
45_966TP1_0028_matching_graph,40,41
47_974TP1_0028_matching_graph,40,41
49_932TP1_0028_matching_graph,40,41
51_981TP1_0028_matching_graph,40,41
0_91TP1_0035_matching_graph,35,43
11_1015TP1_0035_matching_graph,35,43
13_1083TP1_0035_matching_graph,35,43
15_1215TP1_0035_matching_graph,35,43
17_1128TP1_0035_matching_graph,35,43
1_102TP1_0035_matching_graph,35,43
2_117TP1_0035_matching_graph,35,43
3_471TP1_0035_matching_graph,35,43
5_576TP1_0035_matching_graph,35,43
7_856TP1_0035_matching_graph,35,43
9_906TP1_0035_matching_graph,35,43
59_187TP1_0039_matching_graph,48,40
60_219TP1_0039_matching_graph,48,40
61_284TP1_0039_matching_graph,48,40
62_305TP1_0039_matching_graph,48,40
63_651TP1_0039_matching_graph,48,40
64_663TP1_0039_matching_graph,48,40
65_698TP1_0039_matching_graph,48,40
66_912TP1_0039_matching_graph,48,40
67_830TP1_0039_matching_graph,48,40
68_729TP1_0039_matching_graph,48,40
69_919TP1_0039_matching_graph,48,40
70_979TP1_0039_matching_graph,48,40
71_975TP1_0039_matching_graph,48,40
72_956TP1_0039_matching_graph,48,40
73_1027TP1_0039_matching_graph,48,40
74_1147TP1_0039_matching_graph,48,40
75_1180TP1_0039_matching_graph,48,40
76_1197TP1_0039_matching_graph,48,40
77_1209TP1_0039_matching_graph,48,40
78_1098TP1_0039_matching_graph,48,40
