,same class,different classes
26_90YP1_0019_matching_graph,12,10
27_277YP1_0019_matching_graph,12,10
28_283YP1_0019_matching_graph,12,10
29_532YP1_0019_matching_graph,12,10
30_457YP1_0019_matching_graph,12,10
31_647YP1_0019_matching_graph,12,10
32_729YP1_0019_matching_graph,12,10
33_702YP1_0019_matching_graph,12,10
34_767YP1_0019_matching_graph,12,10
35_794YP1_0019_matching_graph,12,10
36_817YP1_0019_matching_graph,12,10
37_838YP1_0019_matching_graph,12,10
38_862YP1_0019_matching_graph,12,10
39_879YP1_0019_matching_graph,12,10
40_904YP1_0019_matching_graph,12,10
41_699YP1_0019_matching_graph,12,10
42_720YP1_0019_matching_graph,12,10
43_762YP1_0019_matching_graph,12,10
44_874YP1_0019_matching_graph,12,10
45_887YP1_0019_matching_graph,12,10
46_755YP1_0019_matching_graph,12,10
47_847YP1_0019_matching_graph,12,10
48_891YP1_0019_matching_graph,12,10
49_160YP1_0040_matching_graph,23,40
50_339YP1_0040_matching_graph,23,40
51_82YP1_0040_matching_graph,23,40
52_241YP1_0040_matching_graph,23,40
53_260YP1_0040_matching_graph,23,40
54_269YP1_0040_matching_graph,23,40
55_472YP1_0040_matching_graph,23,40
56_415YP1_0040_matching_graph,23,40
57_554YP1_0040_matching_graph,23,40
58_683YP1_0040_matching_graph,23,40
59_618YP1_0040_matching_graph,23,40
60_711YP1_0040_matching_graph,23,40
61_856YP1_0040_matching_graph,23,40
62_966YP1_0040_matching_graph,23,40
63_885YP1_0040_matching_graph,23,40
64_932YP1_0040_matching_graph,23,40
65_1004YP1_0040_matching_graph,23,40
66_1008YP1_0040_matching_graph,23,40
67_1017YP1_0040_matching_graph,23,40
68_978YP1_0040_matching_graph,23,40
69_1136YP1_0040_matching_graph,23,40
70_1111YP1_0040_matching_graph,23,40
71_1150YP1_0040_matching_graph,23,40
72_1166YP1_0040_matching_graph,23,40
73_1174YP1_0040_matching_graph,23,40
74_1161YP1_0040_matching_graph,23,40
75_1168YP1_0040_matching_graph,23,40
76_1177YP1_0040_matching_graph,23,40
77_1211YP1_0040_matching_graph,23,40
78_1105YP1_0040_matching_graph,23,40
0_46YP1_0045_matching_graph,19,33
10_733YP1_0045_matching_graph,19,33
11_790YP1_0045_matching_graph,19,33
12_745YP1_0045_matching_graph,19,33
13_900YP1_0045_matching_graph,19,33
14_964YP1_0045_matching_graph,19,33
15_1008YP1_0045_matching_graph,19,33
16_1082YP1_0045_matching_graph,19,33
17_1111YP1_0045_matching_graph,19,33
18_1026YP1_0045_matching_graph,19,33
19_1040YP1_0045_matching_graph,19,33
1_171YP1_0045_matching_graph,19,33
20_1137YP1_0045_matching_graph,19,33
21_1217YP1_0045_matching_graph,19,33
22_1119YP1_0045_matching_graph,19,33
23_1207YP1_0045_matching_graph,19,33
24_1210YP1_0045_matching_graph,19,33
25_1222YP1_0045_matching_graph,19,33
2_232YP1_0045_matching_graph,19,33
3_356YP1_0045_matching_graph,19,33
4_356YP1_0045_matching_graph,19,33
5_371YP1_0045_matching_graph,19,33
6_418YP1_0045_matching_graph,19,33
79_1068YP1_0045_matching_graph,18,32
7_515YP1_0045_matching_graph,19,33
8_449YP1_0045_matching_graph,19,33
9_562YP1_0045_matching_graph,19,33
