,same class,different classes
44_216IP1_0021_matching_graph,364,45
46_216IP1_0021_matching_graph,364,45
48_291IP1_0021_matching_graph,364,45
50_358IP1_0021_matching_graph,364,45
52_350IP1_0021_matching_graph,364,45
54_337IP1_0021_matching_graph,364,45
56_525IP1_0021_matching_graph,364,45
58_613IP1_0021_matching_graph,364,45
60_478IP1_0021_matching_graph,364,45
62_601IP1_0021_matching_graph,364,45
64_616IP1_0021_matching_graph,364,45
66_701IP1_0021_matching_graph,364,45
68_742IP1_0021_matching_graph,364,45
70_715IP1_0021_matching_graph,364,45
72_729IP1_0021_matching_graph,364,45
74_734IP1_0021_matching_graph,364,45
76_885IP1_0021_matching_graph,364,45
78_828IP1_0021_matching_graph,364,45
0_85IP1_0025_matching_graph,383,45
10_518IP1_0025_matching_graph,383,45
11_560IP1_0025_matching_graph,383,45
12_606IP1_0025_matching_graph,383,45
13_621IP1_0025_matching_graph,383,45
14_800IP1_0025_matching_graph,383,45
15_818IP1_0025_matching_graph,383,45
16_744IP1_0025_matching_graph,383,45
17_870IP1_0025_matching_graph,383,45
18_808IP1_0025_matching_graph,383,45
19_994IP1_0025_matching_graph,383,45
1_45IP1_0025_matching_graph,383,45
20_891IP1_0025_matching_graph,383,45
21_907IP1_0025_matching_graph,383,45
22_943IP1_0025_matching_graph,383,45
23_993IP1_0025_matching_graph,383,45
24_1008IP1_0025_matching_graph,383,45
25_1045IP1_0025_matching_graph,383,45
26_877IP1_0025_matching_graph,383,45
27_904IP1_0025_matching_graph,383,45
28_919IP1_0025_matching_graph,383,45
29_939IP1_0025_matching_graph,383,45
2_211IP1_0025_matching_graph,383,45
30_958IP1_0025_matching_graph,383,45
31_981IP1_0025_matching_graph,383,45
32_1001IP1_0025_matching_graph,383,45
33_1022IP1_0025_matching_graph,383,45
34_856IP1_0025_matching_graph,383,45
35_874IP1_0025_matching_graph,383,45
3_250IP1_0025_matching_graph,383,45
4_434IP1_0025_matching_graph,383,45
5_425IP1_0025_matching_graph,383,45
6_391IP1_0025_matching_graph,383,45
7_473IP1_0025_matching_graph,383,45
8_573IP1_0025_matching_graph,383,45
9_700IP1_0025_matching_graph,383,45
36_138IP1_0040_matching_graph,398,44
37_138IP1_0040_matching_graph,398,44
38_312IP1_0040_matching_graph,398,44
39_348IP1_0040_matching_graph,398,44
40_291IP1_0040_matching_graph,398,44
41_520IP1_0040_matching_graph,398,44
42_463IP1_0040_matching_graph,398,44
43_613IP1_0040_matching_graph,398,44
45_702IP1_0040_matching_graph,398,44
47_546IP1_0040_matching_graph,398,44
49_670IP1_0040_matching_graph,398,44
51_734IP1_0040_matching_graph,398,44
53_726IP1_0040_matching_graph,398,44
55_712IP1_0040_matching_graph,398,44
57_910IP1_0040_matching_graph,398,44
59_838IP1_0040_matching_graph,398,44
61_792IP1_0040_matching_graph,398,44
63_909IP1_0040_matching_graph,398,44
65_890IP1_0040_matching_graph,398,44
67_939IP1_0040_matching_graph,398,44
69_1035IP1_0040_matching_graph,398,44
71_985IP1_0040_matching_graph,398,44
73_1163IP1_0040_matching_graph,398,44
75_1104IP1_0040_matching_graph,398,44
77_1088IP1_0040_matching_graph,398,44
79_1176IP1_0040_matching_graph,398,44
