,same class,different classes
66_54FP1_0000_matching_graph,178,45
49_227FP1_0001_matching_graph,169,47
37_110FP1_0003_matching_graph,236,30
38_242FP1_0003_matching_graph,236,30
39_38FP1_0003_matching_graph,236,30
40_180FP1_0003_matching_graph,236,30
41_208FP1_0003_matching_graph,236,30
42_299FP1_0003_matching_graph,236,30
43_319FP1_0003_matching_graph,236,30
44_120FP1_0003_matching_graph,236,30
45_183FP1_0003_matching_graph,236,30
46_301FP1_0003_matching_graph,236,30
47_261FP1_0003_matching_graph,236,30
21_83FP1_0005_matching_graph,465,49
23_208FP1_0005_matching_graph,465,49
25_238FP1_0005_matching_graph,465,49
27_75FP1_0005_matching_graph,465,49
29_107FP1_0005_matching_graph,465,49
31_129FP1_0005_matching_graph,465,49
33_332FP1_0005_matching_graph,465,49
53_181FP1_0005_matching_graph,339,16
54_189FP1_0005_matching_graph,339,16
6_292FP1_0007_matching_graph,331,47
10_438FP1_0008_matching_graph,196,48
11_526FP1_0008_matching_graph,196,48
3_358FP1_0008_matching_graph,484,49
4_369FP1_0008_matching_graph,321,49
5_477FP1_0008_matching_graph,321,49
7_406FP1_0008_matching_graph,196,48
8_350FP1_0008_matching_graph,196,48
9_503FP1_0008_matching_graph,196,48
52_597FP1_0015_matching_graph,435,46
60_486FP1_0019_matching_graph,312,48
59_698FP1_0020_matching_graph,199,46
61_841FP1_0020_matching_graph,199,46
62_906FP1_0020_matching_graph,199,46
63_153FP1_0020_matching_graph,216,38
64_502FP1_0020_matching_graph,216,38
65_742FP1_0020_matching_graph,216,38
67_791FP1_0020_matching_graph,216,38
69_809FP1_0020_matching_graph,216,38
0_465FP1_0021_matching_graph,326,48
1_921FP1_0021_matching_graph,326,48
14_891FP1_0022_matching_graph,316,47
15_941FP1_0022_matching_graph,316,47
17_781FP1_0026_matching_graph,345,48
18_870FP1_0026_matching_graph,345,48
19_882FP1_0026_matching_graph,345,48
70_25FP1_0034_matching_graph,435,49
71_301FP1_0034_matching_graph,435,49
72_333FP1_0034_matching_graph,435,49
73_1106FP1_0034_matching_graph,435,49
74_1095FP1_0034_matching_graph,435,49
75_995FP1_0034_matching_graph,435,49
76_1104FP1_0034_matching_graph,435,49
77_1127FP1_0034_matching_graph,435,49
79_1182FP1_0034_matching_graph,435,49
12_411FP1_0035_matching_graph,330,47
13_776FP1_0035_matching_graph,330,47
2_894FP1_0035_matching_graph,443,49
68_1002FP1_0035_matching_graph,360,21
55_149FP1_0036_matching_graph,168,46
56_610FP1_0036_matching_graph,168,46
57_900FP1_0036_matching_graph,168,46
58_1158FP1_0036_matching_graph,168,46
78_809FP1_0036_matching_graph,208,35
20_471FP1_0038_matching_graph,332,16
22_636FP1_0038_matching_graph,332,16
24_901FP1_0038_matching_graph,332,16
26_936FP1_0038_matching_graph,332,16
28_910FP1_0038_matching_graph,332,16
30_1003FP1_0038_matching_graph,332,16
32_1148FP1_0038_matching_graph,332,16
34_1174FP1_0038_matching_graph,332,16
35_1140FP1_0038_matching_graph,332,16
36_1155FP1_0038_matching_graph,332,16
48_1019FP1_0042_matching_graph,174,18
16_1125FP1_0045_matching_graph,433,49
50_292FP1_0047_matching_graph,178,46
51_597FP1_0047_matching_graph,178,46
