,same class,different classes
53_76LP1_0008_matching_graph,230,47
55_292LP1_0008_matching_graph,230,47
57_273LP1_0008_matching_graph,230,47
59_489LP1_0008_matching_graph,230,47
60_286LP1_0008_matching_graph,230,47
61_535LP1_0008_matching_graph,230,47
62_288LP1_0008_matching_graph,230,47
63_326LP1_0008_matching_graph,230,47
64_353LP1_0008_matching_graph,230,47
65_397LP1_0008_matching_graph,230,47
66_431LP1_0008_matching_graph,230,47
67_468LP1_0008_matching_graph,230,47
68_483LP1_0008_matching_graph,230,47
69_450LP1_0008_matching_graph,230,47
45_343LP1_0010_matching_graph,507,49
46_355LP1_0010_matching_graph,507,49
47_478LP1_0010_matching_graph,507,49
48_543LP1_0010_matching_graph,507,49
49_410LP1_0010_matching_graph,507,49
50_476LP1_0010_matching_graph,507,49
76_580LP1_0012_matching_graph,258,50
78_478LP1_0012_matching_graph,258,50
70_259LP1_0013_matching_graph,453,48
71_450LP1_0013_matching_graph,453,48
72_416LP1_0013_matching_graph,453,48
73_765LP1_0013_matching_graph,453,48
74_538LP1_0013_matching_graph,453,48
38_247LP1_0016_matching_graph,499,50
39_431LP1_0016_matching_graph,499,50
40_616LP1_0016_matching_graph,499,50
41_693LP1_0016_matching_graph,499,50
42_593LP1_0016_matching_graph,499,50
43_722LP1_0016_matching_graph,499,50
44_795LP1_0016_matching_graph,499,50
75_623LP1_0021_matching_graph,315,38
77_854LP1_0021_matching_graph,315,38
79_796LP1_0021_matching_graph,315,38
51_194LP1_0029_matching_graph,509,50
52_259LP1_0029_matching_graph,509,50
54_531LP1_0029_matching_graph,509,50
56_673LP1_0029_matching_graph,509,50
58_957LP1_0029_matching_graph,509,50
0_423LP1_0045_matching_graph,248,49
10_795LP1_0045_matching_graph,64,36
11_808LP1_0045_matching_graph,64,36
12_821LP1_0045_matching_graph,64,36
13_803LP1_0045_matching_graph,64,36
14_804LP1_0045_matching_graph,64,36
15_734LP1_0045_matching_graph,64,36
16_864LP1_0045_matching_graph,64,36
17_903LP1_0045_matching_graph,64,36
18_1031LP1_0045_matching_graph,64,36
19_1141LP1_0045_matching_graph,64,36
1_17LP1_0045_matching_graph,64,36
20_1060LP1_0045_matching_graph,64,36
21_1158LP1_0045_matching_graph,64,36
22_1103LP1_0045_matching_graph,64,36
23_972LP1_0045_matching_graph,64,36
24_1099LP1_0045_matching_graph,64,36
25_1000LP1_0045_matching_graph,64,36
26_1077LP1_0045_matching_graph,64,36
27_1179LP1_0045_matching_graph,64,36
28_1198LP1_0045_matching_graph,64,36
29_1223LP1_0045_matching_graph,64,36
2_78LP1_0045_matching_graph,64,36
30_1208LP1_0045_matching_graph,64,36
31_1206LP1_0045_matching_graph,64,36
32_1122LP1_0045_matching_graph,64,36
33_1133LP1_0045_matching_graph,64,36
34_1204LP1_0045_matching_graph,64,36
35_1210LP1_0045_matching_graph,64,36
36_1215LP1_0045_matching_graph,64,36
37_1220LP1_0045_matching_graph,64,36
3_332LP1_0045_matching_graph,64,36
4_419LP1_0045_matching_graph,64,36
5_425LP1_0045_matching_graph,64,36
6_501LP1_0045_matching_graph,64,36
7_444LP1_0045_matching_graph,64,36
8_586LP1_0045_matching_graph,64,36
9_690LP1_0045_matching_graph,64,36
