,same class,different classes
31_178HP1_0007_matching_graph,507,49
32_259HP1_0007_matching_graph,507,49
33_70HP1_0007_matching_graph,507,49
34_242HP1_0007_matching_graph,507,49
35_220HP1_0007_matching_graph,507,49
36_186HP1_0007_matching_graph,507,49
37_334HP1_0007_matching_graph,507,49
38_368HP1_0007_matching_graph,507,49
39_431HP1_0007_matching_graph,507,49
40_511HP1_0007_matching_graph,507,49
41_311HP1_0007_matching_graph,507,49
42_333HP1_0007_matching_graph,507,49
43_354HP1_0007_matching_graph,507,49
44_371HP1_0007_matching_graph,507,49
45_320HP1_0007_matching_graph,507,49
46_342HP1_0007_matching_graph,507,49
47_442HP1_0007_matching_graph,507,49
48_473HP1_0007_matching_graph,507,49
49_528HP1_0007_matching_graph,507,49
64_58HP1_0025_matching_graph,511,49
65_109HP1_0025_matching_graph,511,49
66_511HP1_0025_matching_graph,511,49
67_485HP1_0025_matching_graph,511,49
68_397HP1_0025_matching_graph,511,49
69_458HP1_0025_matching_graph,511,49
70_782HP1_0025_matching_graph,511,49
71_894HP1_0025_matching_graph,511,49
72_1064HP1_0025_matching_graph,511,49
73_1052HP1_0025_matching_graph,511,49
0_125HP1_0027_matching_graph,507,49
11_444HP1_0027_matching_graph,507,49
13_654HP1_0027_matching_graph,507,49
14_804HP1_0027_matching_graph,507,49
15_894HP1_0027_matching_graph,507,49
16_944HP1_0027_matching_graph,507,49
17_968HP1_0027_matching_graph,507,49
18_1008HP1_0027_matching_graph,507,49
19_984HP1_0027_matching_graph,507,49
1_274HP1_0027_matching_graph,507,49
20_1047HP1_0027_matching_graph,507,49
21_1079HP1_0027_matching_graph,507,49
22_1107HP1_0027_matching_graph,507,49
23_1158HP1_0027_matching_graph,507,49
24_879HP1_0027_matching_graph,507,49
2_169HP1_0027_matching_graph,507,49
3_178HP1_0027_matching_graph,507,49
5_161HP1_0027_matching_graph,507,49
7_312HP1_0027_matching_graph,507,49
9_573HP1_0027_matching_graph,507,49
10_574HP1_0030_matching_graph,507,49
12_744HP1_0030_matching_graph,507,49
25_980HP1_0030_matching_graph,507,49
26_903HP1_0030_matching_graph,507,49
27_1059HP1_0030_matching_graph,507,49
28_1096HP1_0030_matching_graph,507,49
29_1000HP1_0030_matching_graph,507,49
30_1109HP1_0030_matching_graph,507,49
4_257HP1_0030_matching_graph,507,49
6_246HP1_0030_matching_graph,507,49
8_372HP1_0030_matching_graph,507,49
74_34HP1_0041_matching_graph,514,48
75_255HP1_0041_matching_graph,514,48
76_258HP1_0041_matching_graph,514,48
77_540HP1_0041_matching_graph,514,48
78_589HP1_0041_matching_graph,514,48
79_682HP1_0041_matching_graph,514,48
50_261HP1_0043_matching_graph,502,50
51_309HP1_0043_matching_graph,502,50
52_388HP1_0043_matching_graph,502,50
53_619HP1_0043_matching_graph,502,50
54_566HP1_0043_matching_graph,502,50
55_1080HP1_0043_matching_graph,502,50
56_1052HP1_0043_matching_graph,502,50
57_1107HP1_0043_matching_graph,502,50
58_1063HP1_0043_matching_graph,502,50
59_1129HP1_0043_matching_graph,502,50
60_1163HP1_0043_matching_graph,502,50
61_1082HP1_0043_matching_graph,502,50
62_1188HP1_0043_matching_graph,502,50
63_1195HP1_0043_matching_graph,502,50
