,same class,different classes
0_37VP1_0005_matching_graph,320,47
10_308VP1_0005_matching_graph,320,47
11_364VP1_0005_matching_graph,320,47
12_415VP1_0005_matching_graph,320,47
14_160VP1_0005_matching_graph,320,47
16_189VP1_0005_matching_graph,320,47
18_234VP1_0005_matching_graph,320,47
1_74VP1_0005_matching_graph,320,47
20_271VP1_0005_matching_graph,320,47
22_292VP1_0005_matching_graph,320,47
24_357VP1_0005_matching_graph,320,47
26_159VP1_0005_matching_graph,320,47
28_193VP1_0005_matching_graph,320,47
29_249VP1_0005_matching_graph,320,47
2_120VP1_0005_matching_graph,320,47
30_275VP1_0005_matching_graph,320,47
31_312VP1_0005_matching_graph,320,47
32_340VP1_0005_matching_graph,320,47
33_426VP1_0005_matching_graph,320,47
34_144VP1_0005_matching_graph,320,47
35_166VP1_0005_matching_graph,320,47
36_189VP1_0005_matching_graph,320,47
37_218VP1_0005_matching_graph,320,47
3_170VP1_0005_matching_graph,320,47
4_383VP1_0005_matching_graph,320,47
5_412VP1_0005_matching_graph,320,47
6_142VP1_0005_matching_graph,320,47
7_162VP1_0005_matching_graph,320,47
8_218VP1_0005_matching_graph,320,47
9_243VP1_0005_matching_graph,320,47
43_142VP1_0013_matching_graph,309,46
44_454VP1_0013_matching_graph,309,46
45_503VP1_0013_matching_graph,309,46
46_676VP1_0013_matching_graph,309,46
77_83VP1_0014_matching_graph,338,43
79_162VP1_0014_matching_graph,338,43
13_151VP1_0015_matching_graph,339,35
15_409VP1_0015_matching_graph,339,35
17_621VP1_0015_matching_graph,339,35
19_728VP1_0015_matching_graph,339,35
21_621VP1_0015_matching_graph,339,35
23_727VP1_0015_matching_graph,339,35
25_752VP1_0015_matching_graph,339,35
27_595VP1_0015_matching_graph,339,35
38_334VP1_0023_matching_graph,333,35
39_976VP1_0023_matching_graph,333,35
40_851VP1_0023_matching_graph,333,35
41_900VP1_0023_matching_graph,333,35
42_925VP1_0023_matching_graph,333,35
47_416VP1_0023_matching_graph,347,47
49_687VP1_0023_matching_graph,347,47
51_804VP1_0023_matching_graph,347,47
52_933VP1_0023_matching_graph,347,47
53_1000VP1_0023_matching_graph,347,47
64_418VP1_0026_matching_graph,318,33
66_922VP1_0026_matching_graph,318,33
69_925VP1_0026_matching_graph,318,33
71_872VP1_0026_matching_graph,318,33
73_929VP1_0026_matching_graph,318,33
57_312VP1_0041_matching_graph,340,47
59_525VP1_0041_matching_graph,340,47
60_459VP1_0041_matching_graph,408,47
61_745VP1_0041_matching_graph,340,47
63_942VP1_0041_matching_graph,340,47
67_760VP1_0041_matching_graph,408,47
68_1113VP1_0041_matching_graph,340,47
76_953VP1_0041_matching_graph,408,47
56_242VP1_0044_matching_graph,408,47
58_466VP1_0044_matching_graph,408,47
62_506VP1_0044_matching_graph,408,47
65_633VP1_0044_matching_graph,408,47
70_830VP1_0044_matching_graph,408,47
72_968VP1_0044_matching_graph,408,47
74_873VP1_0044_matching_graph,408,47
75_1075VP1_0044_matching_graph,408,47
78_1016VP1_0044_matching_graph,408,47
48_209VP1_0049_matching_graph,340,44
50_218VP1_0049_matching_graph,340,44
54_1138VP1_0049_matching_graph,319,33
55_1186VP1_0049_matching_graph,319,33
