,same class,different classes
47_41YP1_0009_matching_graph,252,49
49_567YP1_0009_matching_graph,252,49
51_351YP1_0009_matching_graph,252,49
53_440YP1_0009_matching_graph,252,49
56_524YP1_0009_matching_graph,252,49
58_551YP1_0009_matching_graph,252,49
60_581YP1_0009_matching_graph,252,49
63_379YP1_0009_matching_graph,252,49
66_409YP1_0009_matching_graph,252,49
70_563YP1_0009_matching_graph,252,49
73_589YP1_0009_matching_graph,252,49
76_460YP1_0009_matching_graph,252,49
0_16YP1_0012_matching_graph,181,47
10_445YP1_0012_matching_graph,181,47
11_609YP1_0012_matching_graph,181,47
12_666YP1_0012_matching_graph,181,47
13_459YP1_0012_matching_graph,181,47
14_642YP1_0012_matching_graph,181,47
1_368YP1_0012_matching_graph,181,47
2_506YP1_0012_matching_graph,181,47
3_596YP1_0012_matching_graph,181,47
4_412YP1_0012_matching_graph,181,47
5_462YP1_0012_matching_graph,181,47
6_488YP1_0012_matching_graph,181,47
7_562YP1_0012_matching_graph,181,47
8_582YP1_0012_matching_graph,181,47
9_603YP1_0012_matching_graph,181,47
61_198YP1_0019_matching_graph,167,45
64_398YP1_0019_matching_graph,167,45
67_412YP1_0019_matching_graph,167,45
69_524YP1_0019_matching_graph,167,45
72_599YP1_0019_matching_graph,167,45
75_673YP1_0019_matching_graph,167,45
77_704YP1_0019_matching_graph,167,45
78_751YP1_0019_matching_graph,167,45
40_449YP1_0033_matching_graph,170,48
41_485YP1_0033_matching_graph,170,48
42_747YP1_0033_matching_graph,170,48
43_784YP1_0033_matching_graph,170,48
44_784YP1_0033_matching_graph,170,48
45_907YP1_0033_matching_graph,170,48
46_835YP1_0033_matching_graph,170,48
48_1064YP1_0033_matching_graph,170,48
50_1153YP1_0033_matching_graph,170,48
52_1199YP1_0033_matching_graph,170,48
55_1078YP1_0033_matching_graph,170,48
54_255YP1_0036_matching_graph,153,48
57_531YP1_0036_matching_graph,153,48
59_816YP1_0036_matching_graph,153,48
62_874YP1_0036_matching_graph,153,48
65_1103YP1_0036_matching_graph,153,48
68_1176YP1_0036_matching_graph,153,48
71_1221YP1_0036_matching_graph,153,48
74_1072YP1_0036_matching_graph,153,48
15_84YP1_0040_matching_graph,172,47
16_393YP1_0040_matching_graph,172,47
17_667YP1_0040_matching_graph,172,47
18_630YP1_0040_matching_graph,172,47
19_674YP1_0040_matching_graph,172,47
20_712YP1_0040_matching_graph,172,47
21_717YP1_0040_matching_graph,172,47
22_829YP1_0040_matching_graph,172,47
23_908YP1_0040_matching_graph,172,47
24_1017YP1_0040_matching_graph,172,47
25_1112YP1_0040_matching_graph,172,47
26_1061YP1_0040_matching_graph,172,47
27_1144YP1_0040_matching_graph,172,47
28_1164YP1_0040_matching_graph,172,47
29_1198YP1_0040_matching_graph,172,47
30_1213YP1_0040_matching_graph,172,47
31_1218YP1_0040_matching_graph,172,47
32_1221YP1_0040_matching_graph,172,47
79_821YP1_0045_matching_graph,177,43
33_715YP1_0048_matching_graph,164,45
34_677YP1_0048_matching_graph,164,45
35_1080YP1_0048_matching_graph,164,45
36_1108YP1_0048_matching_graph,164,45
37_1221YP1_0048_matching_graph,164,45
38_1184YP1_0048_matching_graph,164,45
39_1222YP1_0048_matching_graph,164,45
