,same class,different classes
11_488NP1_0010_matching_graph,278,50
13_518NP1_0010_matching_graph,278,50
15_372NP1_0010_matching_graph,278,50
17_539NP1_0010_matching_graph,278,50
19_582NP1_0010_matching_graph,278,50
21_589NP1_0010_matching_graph,278,50
23_632NP1_0010_matching_graph,278,50
8_188NP1_0010_matching_graph,278,50
9_366NP1_0010_matching_graph,278,50
27_58NP1_0015_matching_graph,260,50
28_526NP1_0015_matching_graph,260,50
29_712NP1_0015_matching_graph,260,50
78_788NP1_0020_matching_graph,453,47
10_343NP1_0021_matching_graph,455,50
12_544NP1_0021_matching_graph,455,50
14_440NP1_0021_matching_graph,455,50
16_690NP1_0021_matching_graph,455,50
18_838NP1_0021_matching_graph,455,50
20_915NP1_0021_matching_graph,455,50
22_767NP1_0021_matching_graph,455,50
24_822NP1_0021_matching_graph,455,50
25_798NP1_0021_matching_graph,455,50
26_879NP1_0021_matching_graph,455,50
0_838NP1_0022_matching_graph,466,49
1_838NP1_0022_matching_graph,466,49
59_110NP1_0025_matching_graph,253,36
61_150NP1_0025_matching_graph,253,36
64_605NP1_0025_matching_graph,253,36
67_835NP1_0025_matching_graph,253,36
69_862NP1_0025_matching_graph,253,36
49_262NP1_0032_matching_graph,464,49
51_396NP1_0032_matching_graph,464,49
53_359NP1_0032_matching_graph,464,49
56_645NP1_0032_matching_graph,464,49
58_822NP1_0032_matching_graph,464,49
63_970NP1_0032_matching_graph,464,49
66_979NP1_0032_matching_graph,464,49
70_980NP1_0032_matching_graph,464,49
72_1126NP1_0032_matching_graph,464,49
74_1072NP1_0032_matching_graph,464,49
76_1113NP1_0032_matching_graph,464,49
52_504NP1_0038_matching_graph,288,49
55_586NP1_0038_matching_graph,288,49
2_22NP1_0041_matching_graph,293,50
3_674NP1_0041_matching_graph,293,50
4_795NP1_0041_matching_graph,293,50
5_1118NP1_0041_matching_graph,293,50
6_1188NP1_0041_matching_graph,293,50
7_1168NP1_0041_matching_graph,293,50
48_183NP1_0042_matching_graph,231,50
50_530NP1_0042_matching_graph,231,50
54_782NP1_0042_matching_graph,231,50
57_823NP1_0042_matching_graph,231,50
60_949NP1_0042_matching_graph,231,50
62_1041NP1_0042_matching_graph,231,50
65_1054NP1_0042_matching_graph,231,50
68_1138NP1_0042_matching_graph,231,50
71_1199NP1_0042_matching_graph,231,50
73_1220NP1_0042_matching_graph,231,50
75_1112NP1_0042_matching_graph,231,50
77_1124NP1_0042_matching_graph,231,50
79_1136NP1_0042_matching_graph,231,50
30_241NP1_0044_matching_graph,314,50
31_784NP1_0044_matching_graph,314,50
32_1075NP1_0044_matching_graph,314,50
33_1168NP1_0044_matching_graph,314,50
34_650NP1_0044_matching_graph,493,49
35_1113NP1_0044_matching_graph,493,49
36_1109NP1_0044_matching_graph,493,49
37_1158NP1_0044_matching_graph,493,49
38_26NP1_0046_matching_graph,291,50
39_471NP1_0046_matching_graph,291,50
40_837NP1_0046_matching_graph,291,50
41_887NP1_0046_matching_graph,291,50
42_859NP1_0046_matching_graph,291,50
43_1106NP1_0046_matching_graph,291,50
44_1064NP1_0046_matching_graph,291,50
45_1207NP1_0046_matching_graph,291,50
46_1124NP1_0046_matching_graph,291,50
47_1132NP1_0046_matching_graph,291,50
