,same class,different classes
0_82YP1_0019_matching_graph,18,44
10_729YP1_0019_matching_graph,18,44
11_698YP1_0019_matching_graph,18,44
12_699YP1_0019_matching_graph,18,44
13_745YP1_0019_matching_graph,18,44
14_771YP1_0019_matching_graph,18,44
15_793YP1_0019_matching_graph,18,44
16_858YP1_0019_matching_graph,18,44
17_873YP1_0019_matching_graph,18,44
18_712YP1_0019_matching_graph,18,44
19_735YP1_0019_matching_graph,18,44
1_146YP1_0019_matching_graph,18,44
20_785YP1_0019_matching_graph,18,44
21_836YP1_0019_matching_graph,18,44
22_865YP1_0019_matching_graph,18,44
23_881YP1_0019_matching_graph,18,44
24_895YP1_0019_matching_graph,18,44
25_911YP1_0019_matching_graph,18,44
26_927YP1_0019_matching_graph,18,44
27_712YP1_0019_matching_graph,18,44
28_760YP1_0019_matching_graph,18,44
29_783YP1_0019_matching_graph,18,44
2_235YP1_0019_matching_graph,18,44
30_806YP1_0019_matching_graph,18,44
31_857YP1_0019_matching_graph,18,44
32_878YP1_0019_matching_graph,18,44
3_483YP1_0019_matching_graph,18,44
4_584YP1_0019_matching_graph,18,44
5_423YP1_0019_matching_graph,18,44
6_534YP1_0019_matching_graph,18,44
7_615YP1_0019_matching_graph,18,44
8_656YP1_0019_matching_graph,18,44
9_690YP1_0019_matching_graph,18,44
50_132YP1_0021_matching_graph,18,41
51_209YP1_0021_matching_graph,18,41
52_266YP1_0021_matching_graph,18,41
53_531YP1_0021_matching_graph,18,41
54_637YP1_0021_matching_graph,18,41
55_463YP1_0021_matching_graph,18,41
56_590YP1_0021_matching_graph,18,41
57_663YP1_0021_matching_graph,18,41
58_701YP1_0021_matching_graph,18,41
59_743YP1_0021_matching_graph,18,41
60_779YP1_0021_matching_graph,18,41
61_723YP1_0021_matching_graph,18,41
62_935YP1_0021_matching_graph,18,41
63_818YP1_0021_matching_graph,18,41
64_840YP1_0021_matching_graph,18,41
65_860YP1_0021_matching_graph,18,41
66_745YP1_0021_matching_graph,18,41
67_772YP1_0021_matching_graph,18,41
68_798YP1_0021_matching_graph,18,41
69_822YP1_0021_matching_graph,18,41
70_865YP1_0021_matching_graph,18,41
71_914YP1_0021_matching_graph,18,41
72_945YP1_0021_matching_graph,18,41
73_967YP1_0021_matching_graph,18,41
74_993YP1_0021_matching_graph,18,41
75_749YP1_0021_matching_graph,18,41
76_777YP1_0021_matching_graph,18,41
77_850YP1_0021_matching_graph,18,41
78_873YP1_0021_matching_graph,18,41
79_899YP1_0021_matching_graph,18,41
33_38YP1_0046_matching_graph,15,43
34_382YP1_0046_matching_graph,15,43
35_446YP1_0046_matching_graph,15,43
36_569YP1_0046_matching_graph,15,43
37_772YP1_0046_matching_graph,15,43
38_839YP1_0046_matching_graph,15,43
39_917YP1_0046_matching_graph,15,43
40_1157YP1_0046_matching_graph,15,43
41_1127YP1_0046_matching_graph,15,43
42_1065YP1_0046_matching_graph,15,43
43_1126YP1_0046_matching_graph,15,43
44_1032YP1_0046_matching_graph,15,43
45_1056YP1_0046_matching_graph,15,43
46_1062YP1_0046_matching_graph,15,43
47_1196YP1_0046_matching_graph,15,43
48_1163YP1_0046_matching_graph,15,43
49_1223YP1_0046_matching_graph,15,43
