,same class,different classes
10_93TP1_0003_matching_graph,28,43
13_116TP1_0003_matching_graph,28,43
16_143TP1_0003_matching_graph,28,43
20_202TP1_0003_matching_graph,28,43
24_229TP1_0003_matching_graph,28,43
26_258TP1_0003_matching_graph,28,43
28_313TP1_0003_matching_graph,28,43
30_343TP1_0003_matching_graph,28,43
32_94TP1_0003_matching_graph,28,43
34_118TP1_0003_matching_graph,28,43
35_171TP1_0003_matching_graph,28,43
36_258TP1_0003_matching_graph,28,43
37_106TP1_0003_matching_graph,28,43
38_274TP1_0003_matching_graph,28,43
39_299TP1_0003_matching_graph,28,43
5_94TP1_0003_matching_graph,28,43
7_284TP1_0003_matching_graph,28,43
78_352TP1_0011_matching_graph,80,38
79_406TP1_0011_matching_graph,80,38
40_87TP1_0017_matching_graph,47,40
41_264TP1_0017_matching_graph,47,40
42_143TP1_0017_matching_graph,47,40
43_197TP1_0017_matching_graph,47,40
44_237TP1_0017_matching_graph,47,40
45_263TP1_0017_matching_graph,47,40
46_353TP1_0017_matching_graph,47,40
47_519TP1_0017_matching_graph,47,40
48_622TP1_0017_matching_graph,47,40
49_602TP1_0017_matching_graph,47,40
50_705TP1_0017_matching_graph,47,40
51_624TP1_0017_matching_graph,47,40
52_660TP1_0017_matching_graph,47,40
53_745TP1_0017_matching_graph,47,40
54_765TP1_0017_matching_graph,47,40
55_828TP1_0017_matching_graph,47,40
0_195TP1_0028_matching_graph,40,41
11_886TP1_0028_matching_graph,40,41
14_1004TP1_0028_matching_graph,40,41
17_1012TP1_0028_matching_graph,40,41
19_950TP1_0028_matching_graph,40,41
1_199TP1_0028_matching_graph,40,41
22_1064TP1_0028_matching_graph,40,41
2_206TP1_0028_matching_graph,40,41
3_254TP1_0028_matching_graph,40,41
4_621TP1_0028_matching_graph,40,41
6_746TP1_0028_matching_graph,40,41
8_983TP1_0028_matching_graph,40,41
12_105TP1_0035_matching_graph,35,43
15_148TP1_0035_matching_graph,35,43
18_395TP1_0035_matching_graph,35,43
21_550TP1_0035_matching_graph,35,43
23_886TP1_0035_matching_graph,35,43
25_889TP1_0035_matching_graph,35,43
27_1018TP1_0035_matching_graph,35,43
29_1085TP1_0035_matching_graph,35,43
31_1224TP1_0035_matching_graph,35,43
33_1140TP1_0035_matching_graph,35,43
9_105TP1_0035_matching_graph,35,43
56_219TP1_0039_matching_graph,48,40
57_214TP1_0039_matching_graph,48,40
58_264TP1_0039_matching_graph,48,40
59_296TP1_0039_matching_graph,48,40
60_634TP1_0039_matching_graph,48,40
61_687TP1_0039_matching_graph,48,40
62_901TP1_0039_matching_graph,48,40
63_782TP1_0039_matching_graph,48,40
64_780TP1_0039_matching_graph,48,40
65_918TP1_0039_matching_graph,48,40
66_996TP1_0039_matching_graph,48,40
67_1019TP1_0039_matching_graph,48,40
68_989TP1_0039_matching_graph,48,40
69_1179TP1_0039_matching_graph,48,40
70_1087TP1_0039_matching_graph,48,40
71_990TP1_0039_matching_graph,48,40
72_1153TP1_0039_matching_graph,48,40
73_1156TP1_0039_matching_graph,48,40
74_1184TP1_0039_matching_graph,48,40
75_1195TP1_0039_matching_graph,48,40
76_1205TP1_0039_matching_graph,48,40
77_1102TP1_0039_matching_graph,48,40
