,same class,different classes
50_259IP1_0021_matching_graph,364,45
52_245IP1_0021_matching_graph,364,45
54_291IP1_0021_matching_graph,364,45
56_303IP1_0021_matching_graph,364,45
58_284IP1_0021_matching_graph,364,45
60_357IP1_0021_matching_graph,364,45
62_360IP1_0021_matching_graph,364,45
64_529IP1_0021_matching_graph,364,45
66_594IP1_0021_matching_graph,364,45
68_479IP1_0021_matching_graph,364,45
70_587IP1_0021_matching_graph,364,45
72_620IP1_0021_matching_graph,364,45
74_686IP1_0021_matching_graph,364,45
76_701IP1_0021_matching_graph,364,45
78_745IP1_0021_matching_graph,364,45
0_78IP1_0025_matching_graph,383,45
10_663IP1_0025_matching_graph,383,45
11_516IP1_0025_matching_graph,383,45
12_577IP1_0025_matching_graph,383,45
13_614IP1_0025_matching_graph,383,45
14_649IP1_0025_matching_graph,383,45
15_856IP1_0025_matching_graph,383,45
16_810IP1_0025_matching_graph,383,45
17_774IP1_0025_matching_graph,383,45
18_854IP1_0025_matching_graph,383,45
19_798IP1_0025_matching_graph,383,45
1_55IP1_0025_matching_graph,383,45
20_914IP1_0025_matching_graph,383,45
21_983IP1_0025_matching_graph,383,45
22_876IP1_0025_matching_graph,383,45
23_895IP1_0025_matching_graph,383,45
24_914IP1_0025_matching_graph,383,45
25_949IP1_0025_matching_graph,383,45
26_995IP1_0025_matching_graph,383,45
27_1005IP1_0025_matching_graph,383,45
28_1018IP1_0025_matching_graph,383,45
29_862IP1_0025_matching_graph,383,45
2_104IP1_0025_matching_graph,383,45
30_894IP1_0025_matching_graph,383,45
31_914IP1_0025_matching_graph,383,45
32_931IP1_0025_matching_graph,383,45
33_966IP1_0025_matching_graph,383,45
34_981IP1_0025_matching_graph,383,45
35_993IP1_0025_matching_graph,383,45
36_1004IP1_0025_matching_graph,383,45
37_1015IP1_0025_matching_graph,383,45
38_1025IP1_0025_matching_graph,383,45
39_862IP1_0025_matching_graph,383,45
3_121IP1_0025_matching_graph,383,45
40_881IP1_0025_matching_graph,383,45
4_94IP1_0025_matching_graph,383,45
5_398IP1_0025_matching_graph,383,45
6_423IP1_0025_matching_graph,383,45
7_388IP1_0025_matching_graph,383,45
8_459IP1_0025_matching_graph,383,45
9_556IP1_0025_matching_graph,383,45
41_194IP1_0040_matching_graph,398,44
42_200IP1_0040_matching_graph,398,44
43_242IP1_0040_matching_graph,398,44
44_250IP1_0040_matching_graph,398,44
45_239IP1_0040_matching_graph,398,44
46_355IP1_0040_matching_graph,398,44
47_566IP1_0040_matching_graph,398,44
48_485IP1_0040_matching_graph,398,44
49_584IP1_0040_matching_graph,398,44
51_680IP1_0040_matching_graph,398,44
53_529IP1_0040_matching_graph,398,44
55_614IP1_0040_matching_graph,398,44
57_666IP1_0040_matching_graph,398,44
59_683IP1_0040_matching_graph,398,44
61_751IP1_0040_matching_graph,398,44
63_732IP1_0040_matching_graph,398,44
65_899IP1_0040_matching_graph,398,44
67_872IP1_0040_matching_graph,398,44
69_781IP1_0040_matching_graph,398,44
71_871IP1_0040_matching_graph,398,44
73_1004IP1_0040_matching_graph,398,44
75_888IP1_0040_matching_graph,398,44
77_962IP1_0040_matching_graph,398,44
79_991IP1_0040_matching_graph,398,44
